To learn about increasing the verbosity of the NGen log files please see http://go.microsoft.com/fwlink/?linkid=210113
08/21/2019 18:24:11.078 [16068]: Failed to load dependency Microsoft.SqlTools.Telemetry.Interop of assembly SqlWorkbench.Interfaces, Version=15.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : La definición del manifiesto del ensamblado no coincide con la referencia al ensamblado. (Excepción de HRESULT: 0x80131040)
08/21/2019 18:24:11.131 [16068]: Failed to load dependency Microsoft.SqlServer.Management.AzureAuthenticationManagement of assembly SqlMgmt, Version=15.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : El sistema no puede encontrar el archivo especificado. (Excepción de HRESULT: 0x80070002)
08/21/2019 18:24:11.135 [16068]: Failed to load dependency Microsoft.SqlServer.Management.Sdk.Sfc of assembly SqlMgmt, Version=15.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : La definición del manifiesto del ensamblado no coincide con la referencia al ensamblado. (Excepción de HRESULT: 0x80131040)
08/21/2019 18:24:11.136 [16068]: Failed to load dependency Microsoft.SqlServer.Management.ServiceManagement of assembly SqlMgmt, Version=15.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : El sistema no puede encontrar el archivo especificado. (Excepción de HRESULT: 0x80070002)
08/21/2019 18:24:11.137 [16068]: Failed to load dependency Microsoft.SqlServer.Management.Azure.UI of assembly SqlMgmt, Version=15.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : El sistema no puede encontrar el archivo especificado. (Excepción de HRESULT: 0x80070002)
08/21/2019 18:24:11.138 [16068]: Failed to load dependency Microsoft.SqlServer.Management.ApplicationAuthenticationManagement of assembly SqlMgmt, Version=15.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : El sistema no puede encontrar el archivo especificado. (Excepción de HRESULT: 0x80070002)
08/21/2019 18:24:11.146 [16068]: Failed to load dependency Microsoft.SqlServer.SString of assembly SqlMgmt, Version=15.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : La definición del manifiesto del ensamblado no coincide con la referencia al ensamblado. (Excepción de HRESULT: 0x80131040)
08/21/2019 18:24:11.147 [16068]: Failed to load dependency Microsoft.NetEnterpriseServers.ExceptionMessageBox of assembly SqlMgmt, Version=15.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : La definición del manifiesto del ensamblado no coincide con la referencia al ensamblado. (Excepción de HRESULT: 0x80131040)
08/21/2019 18:24:11.148 [16068]: Failed to load dependency Microsoft.SqlServer.GridControl of assembly SqlMgmt, Version=15.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : La definición del manifiesto del ensamblado no coincide con la referencia al ensamblado. (Excepción de HRESULT: 0x80131040)
08/21/2019 18:24:11.149 [16068]: Failed to load dependency Microsoft.SqlTools.Telemetry.Interop of assembly SqlMgmt, Version=15.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : La definición del manifiesto del ensamblado no coincide con la referencia al ensamblado. (Excepción de HRESULT: 0x80131040)
08/21/2019 18:24:11.150 [16068]: Failed to load dependency Microsoft.SqlServer.Management.Platform of assembly SqlMgmt, Version=15.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : El sistema no puede encontrar el archivo especificado. (Excepción de HRESULT: 0x80070002)
08/21/2019 18:24:11.151 [16068]: Failed to load dependency Microsoft.SqlServer.Management.HelpViewer of assembly SqlMgmt, Version=15.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : La definición del manifiesto del ensamblado no coincide con la referencia al ensamblado. (Excepción de HRESULT: 0x80131040)
08/21/2019 18:24:11.156 [16068]: Failed to load dependency Microsoft.VisualStudio.Shell.15.0 of assembly SqlMgmt, Version=15.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : El sistema no puede encontrar el archivo especificado. (Excepción de HRESULT: 0x80070002)
08/21/2019 18:24:11.190 [16068]: Failed to load dependency Microsoft.SqlServer.DataStorage of assembly SqlMgmt, Version=15.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : La definición del manifiesto del ensamblado no coincide con la referencia al ensamblado. (Excepción de HRESULT: 0x80131040)
08/21/2019 18:24:11.191 [16068]: Failed to load dependency Microsoft.VisualStudio.Threading of assembly SqlMgmt, Version=15.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : El sistema no puede encontrar el archivo especificado. (Excepción de HRESULT: 0x80070002)
08/21/2019 18:24:11.194 [16068]: Failed to load dependency Microsoft.VisualStudio.Shell.10.0 of assembly Microsoft.AnalysisServices.Graphing, Version=15.2.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : El sistema no puede encontrar el archivo especificado. (Excepción de HRESULT: 0x80070002)
08/21/2019 18:24:11.205 [16068]: Failed to load dependency Microsoft.ExceptionMessageBox of assembly Microsoft.SqlServer.Management.Controls, Version=15.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : La definición del manifiesto del ensamblado no coincide con la referencia al ensamblado. (Excepción de HRESULT: 0x80131040)
08/21/2019 18:24:11.206 [16068]: Failed to load dependency Microsoft.Azure.KeyVault.Core of assembly Microsoft.WindowsAzure.Storage, Version=9.3.0.0, Culture=neutral, PublicKeyToken=31bf3856ad364e35 because of the following error : El sistema no puede encontrar el archivo especificado. (Excepción de HRESULT: 0x80070002)
08/21/2019 18:24:11.207 [16068]: Failed to load dependency Newtonsoft.Json of assembly Microsoft.WindowsAzure.Storage, Version=9.3.0.0, Culture=neutral, PublicKeyToken=31bf3856ad364e35 because of the following error : El sistema no puede encontrar el archivo especificado. (Excepción de HRESULT: 0x80070002)
08/21/2019 18:24:11.209 [16068]: Failed to load dependency Microsoft.SqlServer.WizardFramework of assembly Microsoft.SqlServer.Management.SqlStudio.Controls, Version=15.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : La definición del manifiesto del ensamblado no coincide con la referencia al ensamblado. (Excepción de HRESULT: 0x80131040)
08/21/2019 18:24:11.209 [16068]: Failed to load dependency Microsoft.SqlServer.Smo of assembly Microsoft.SqlServer.Management.SqlStudio.Controls, Version=15.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : La definición del manifiesto del ensamblado no coincide con la referencia al ensamblado. (Excepción de HRESULT: 0x80131040)
08/21/2019 18:24:11.210 [16068]: Failed to load dependency Microsoft.SqlServer.ConnectionInfo of assembly Microsoft.SqlServer.Management.SqlStudio.Controls, Version=15.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : La definición del manifiesto del ensamblado no coincide con la referencia al ensamblado. (Excepción de HRESULT: 0x80131040)
08/21/2019 18:24:11.211 [16068]: Failed to load dependency Microsoft.NetEnterpriseServers.ExceptionMessageBox of assembly Microsoft.SqlServer.Management.SqlStudio.Controls, Version=15.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : La definición del manifiesto del ensamblado no coincide con la referencia al ensamblado. (Excepción de HRESULT: 0x80131040)
08/21/2019 18:24:11.211 [16068]: Failed to load dependency Microsoft.SqlServer.SqlEnum of assembly Microsoft.SqlServer.Management.SqlStudio.Controls, Version=15.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : La definición del manifiesto del ensamblado no coincide con la referencia al ensamblado. (Excepción de HRESULT: 0x80131040)
08/21/2019 18:24:11.212 [16068]: Failed to load dependency Microsoft.SqlServer.Management.Sdk.Sfc of assembly Microsoft.SqlServer.Management.SqlStudio.Controls, Version=15.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : La definición del manifiesto del ensamblado no coincide con la referencia al ensamblado. (Excepción de HRESULT: 0x80131040)
08/21/2019 18:24:11.213 [16068]: Failed to load dependency Microsoft.SqlServer.Management.Sdk.Sfc of assembly Microsoft.SqlServer.Management.SDK.SqlStudio, Version=15.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : La definición del manifiesto del ensamblado no coincide con la referencia al ensamblado. (Excepción de HRESULT: 0x80131040)
08/21/2019 18:24:11.215 [16068]: Failed to load dependency Microsoft.SqlServer.ConnectionInfo of assembly Microsoft.SqlServer.Management.SDK.SqlStudio, Version=15.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : La definición del manifiesto del ensamblado no coincide con la referencia al ensamblado. (Excepción de HRESULT: 0x80131040)
08/21/2019 18:24:11.216 [16068]: Failed to load dependency Microsoft.SqlServer.SqlTDiagM of assembly Microsoft.SqlServer.Management.SDK.SqlStudio, Version=15.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : La definición del manifiesto del ensamblado no coincide con la referencia al ensamblado. (Excepción de HRESULT: 0x80131040)
08/21/2019 18:24:11.226 [16068]: Failed to load dependency Microsoft.AnalysisServices.SPClient.Interfaces of assembly Microsoft.AnalysisServices.Core, Version=15.17.1.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : El sistema no puede encontrar el archivo especificado. (Excepción de HRESULT: 0x80070002)
08/21/2019 18:24:11.228 [16068]: Failed to load dependency Microsoft.VisualStudio.Shell.15.0 of assembly SqlPackageBase, Version=15.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : El sistema no puede encontrar el archivo especificado. (Excepción de HRESULT: 0x80070002)
08/21/2019 18:24:11.229 [16068]: Failed to load dependency Microsoft.SqlServer.RegSvrEnum of assembly SqlPackageBase, Version=15.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : La definición del manifiesto del ensamblado no coincide con la referencia al ensamblado. (Excepción de HRESULT: 0x80131040)
08/21/2019 18:24:11.232 [16068]: Failed to load dependency Microsoft.SqlServer.ConnectionInfo of assembly SqlPackageBase, Version=15.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : La definición del manifiesto del ensamblado no coincide con la referencia al ensamblado. (Excepción de HRESULT: 0x80131040)
08/21/2019 18:24:11.232 [16068]: Failed to load dependency Microsoft.SqlServer.Management.HelpViewer of assembly SqlPackageBase, Version=15.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : La definición del manifiesto del ensamblado no coincide con la referencia al ensamblado. (Excepción de HRESULT: 0x80131040)
08/21/2019 18:24:11.234 [16068]: Failed to load dependency Microsoft.SqlServer.ConnectionInfo of assembly ConnectionDlg, Version=15.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : La definición del manifiesto del ensamblado no coincide con la referencia al ensamblado. (Excepción de HRESULT: 0x80131040)
08/21/2019 18:24:11.234 [16068]: Failed to load dependency Microsoft.SqlServer.RegSvrEnum of assembly ConnectionDlg, Version=15.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : La definición del manifiesto del ensamblado no coincide con la referencia al ensamblado. (Excepción de HRESULT: 0x80131040)
08/21/2019 18:24:11.235 [16068]: Failed to load dependency Microsoft.SqlServer.SString of assembly ConnectionDlg, Version=15.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : La definición del manifiesto del ensamblado no coincide con la referencia al ensamblado. (Excepción de HRESULT: 0x80131040)
08/21/2019 18:24:11.236 [16068]: Failed to load dependency Microsoft.SqlServer.Management.ServiceManagement of assembly ConnectionDlg, Version=15.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : El sistema no puede encontrar el archivo especificado. (Excepción de HRESULT: 0x80070002)
08/21/2019 18:24:11.237 [16068]: Failed to load dependency Microsoft.SqlServer.Management.AzureAuthenticationManagement of assembly ConnectionDlg, Version=15.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : El sistema no puede encontrar el archivo especificado. (Excepción de HRESULT: 0x80070002)
08/21/2019 18:24:11.238 [16068]: Failed to load dependency Microsoft.SqlServer.Management.ApplicationAuthenticationManagement of assembly ConnectionDlg, Version=15.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : El sistema no puede encontrar el archivo especificado. (Excepción de HRESULT: 0x80070002)
08/21/2019 18:24:11.239 [16068]: Failed to load dependency Microsoft.SqlServer.Management.Azure.UI of assembly ConnectionDlg, Version=15.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : El sistema no puede encontrar el archivo especificado. (Excepción de HRESULT: 0x80070002)
08/21/2019 18:24:11.240 [16068]: Failed to load dependency Microsoft.SqlServer.Management.RegisteredServers of assembly ConnectionDlg, Version=15.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : La definición del manifiesto del ensamblado no coincide con la referencia al ensamblado. (Excepción de HRESULT: 0x80131040)
08/21/2019 18:24:11.241 [16068]: Failed to load dependency Microsoft.SqlServer.SqlTDiagM of assembly ConnectionDlg, Version=15.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : La definición del manifiesto del ensamblado no coincide con la referencia al ensamblado. (Excepción de HRESULT: 0x80131040)
08/21/2019 18:24:11.241 [16068]: Failed to load dependency Microsoft.SqlServer.Management.Sdk.Sfc of assembly ConnectionDlg, Version=15.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : La definición del manifiesto del ensamblado no coincide con la referencia al ensamblado. (Excepción de HRESULT: 0x80131040)
08/21/2019 18:24:11.245 [16068]: Failed to load dependency Microsoft.NetEnterpriseServers.ExceptionMessageBox of assembly ConnectionDlg, Version=15.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : La definición del manifiesto del ensamblado no coincide con la referencia al ensamblado. (Excepción de HRESULT: 0x80131040)
08/21/2019 18:24:11.245 [16068]: Failed to load dependency Microsoft.SqlServer.Management.HelpViewer of assembly ConnectionDlg, Version=15.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : La definición del manifiesto del ensamblado no coincide con la referencia al ensamblado. (Excepción de HRESULT: 0x80131040)
08/21/2019 18:24:11.246 [16068]: Failed to load dependency Microsoft.ExceptionMessageBox of assembly ConnectionDlg, Version=15.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : La definición del manifiesto del ensamblado no coincide con la referencia al ensamblado. (Excepción de HRESULT: 0x80131040)
08/21/2019 18:24:11.248 [16068]: Failed to load dependency Microsoft.AnalysisServices.SPClient.Interfaces of assembly Microsoft.AnalysisServices.AdomdClient, Version=15.17.1.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : El sistema no puede encontrar el archivo especificado. (Excepción de HRESULT: 0x80070002)
08/21/2019 18:24:11.266 [16068]: Failed to load dependency Microsoft.SqlServer.DlgGrid of assembly Microsoft.AnalysisServices.Controls, Version=15.2.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : La definición del manifiesto del ensamblado no coincide con la referencia al ensamblado. (Excepción de HRESULT: 0x80131040)
08/21/2019 18:24:11.267 [16068]: Failed to load dependency Microsoft.SqlServer.GridControl of assembly Microsoft.AnalysisServices.Controls, Version=15.2.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : La definición del manifiesto del ensamblado no coincide con la referencia al ensamblado. (Excepción de HRESULT: 0x80131040)
08/21/2019 18:24:11.295 [16068]: Failed to load dependency Microsoft.IdentityModel.Clients.ActiveDirectory of assembly Microsoft.AnalysisServices.Controls, Version=15.2.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : El sistema no puede encontrar el archivo especificado. (Excepción de HRESULT: 0x80070002)
08/21/2019 18:24:11.309 [16068]: Failed to load dependency SqlWorkbench.Interfaces of assembly Microsoft.AnalysisServices.Controls, Version=15.2.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : La definición del manifiesto del ensamblado no coincide con la referencia al ensamblado. (Excepción de HRESULT: 0x80131040)
08/21/2019 18:24:11.313 [16068]: Failed to load dependency Microsoft.SqlServer.CustomControls of assembly Microsoft.AnalysisServices.Controls, Version=15.2.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : La definición del manifiesto del ensamblado no coincide con la referencia al ensamblado. (Excepción de HRESULT: 0x80131040)
08/21/2019 18:24:11.316 [16068]: Failed to load dependency Microsoft.VisualStudio.Shell.10.0 of assembly Microsoft.AnalysisServices.Controls, Version=15.2.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : El sistema no puede encontrar el archivo especificado. (Excepción de HRESULT: 0x80070002)
08/21/2019 18:24:11.317 [16068]: Failed to load dependency Microsoft.IdentityModel.Clients.ActiveDirectory.Platform of assembly Microsoft.AnalysisServices.Controls, Version=15.2.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : El sistema no puede encontrar el archivo especificado. (Excepción de HRESULT: 0x80070002)
08/21/2019 18:24:11.337 [16068]: Failed to load dependency Microsoft.Data.ConnectionUI.Dialog of assembly Microsoft.DataWarehouse, Version=15.2.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : La definición del manifiesto del ensamblado no coincide con la referencia al ensamblado. (Excepción de HRESULT: 0x80131040)
08/21/2019 18:24:11.338 [16068]: Failed to load dependency Microsoft.Data.ConnectionUI of assembly Microsoft.DataWarehouse, Version=15.2.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : La definición del manifiesto del ensamblado no coincide con la referencia al ensamblado. (Excepción de HRESULT: 0x80131040)
08/21/2019 18:24:11.342 [16068]: Failed to load dependency Microsoft.SqlServer.WizardFramework of assembly Microsoft.DataWarehouse, Version=15.2.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : La definición del manifiesto del ensamblado no coincide con la referencia al ensamblado. (Excepción de HRESULT: 0x80131040)
08/21/2019 18:24:11.345 [16068]: Failed to load dependency msddsp of assembly Microsoft.DataWarehouse, Version=15.2.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : El sistema no puede encontrar el archivo especificado. (Excepción de HRESULT: 0x80070002)
08/21/2019 18:24:11.346 [16068]: Failed to load dependency Microsoft.VisualStudio.Data of assembly Microsoft.DataWarehouse, Version=15.2.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : La definición del manifiesto del ensamblado no coincide con la referencia al ensamblado. (Excepción de HRESULT: 0x80131040)
08/21/2019 18:24:11.347 [16068]: Failed to load dependency Microsoft.VisualStudio.DataTools.Interop of assembly Microsoft.DataWarehouse, Version=15.2.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : La definición del manifiesto del ensamblado no coincide con la referencia al ensamblado. (Excepción de HRESULT: 0x80131040)
08/21/2019 18:24:11.348 [16068]: Failed to load dependency Microsoft.VisualStudio.Data.Interop of assembly Microsoft.DataWarehouse, Version=15.2.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : La definición del manifiesto del ensamblado no coincide con la referencia al ensamblado. (Excepción de HRESULT: 0x80131040)
08/21/2019 18:24:11.360 [16068]: Failed to load dependency Microsoft.Data.ConnectionUI.Dialog of assembly Microsoft.ReportingServices.QueryDesigners.IS, Version=15.2.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : La definición del manifiesto del ensamblado no coincide con la referencia al ensamblado. (Excepción de HRESULT: 0x80131040)
08/21/2019 18:24:11.367 [16068]: Failed to load dependency Microsoft.Data.ConnectionUI of assembly Microsoft.ReportingServices.QueryDesigners.IS, Version=15.2.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : La definición del manifiesto del ensamblado no coincide con la referencia al ensamblado. (Excepción de HRESULT: 0x80131040)
08/21/2019 18:24:11.372 [16068]: Failed to load dependency Microsoft.SqlServer.MgdSqlDumper of assembly Microsoft.ReportingServices.Diagnostics, Version=15.2.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : El sistema no puede encontrar el archivo especificado. (Excepción de HRESULT: 0x80070002)
08/21/2019 18:24:11.438 [16068]: Failed to load dependency Microsoft.ReportingServices.SharePoint.ObjectModel of assembly Microsoft.ReportingServices.DataExtensions, Version=15.2.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : El sistema no puede encontrar el archivo especificado. (Excepción de HRESULT: 0x80070002)
08/21/2019 18:24:11.443 [16068]: Failed to load dependency Microsoft.Data.ConnectionUI of assembly Microsoft.AnalysisServices.AdomdClientUI, Version=15.2.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : La definición del manifiesto del ensamblado no coincide con la referencia al ensamblado. (Excepción de HRESULT: 0x80131040)
08/21/2019 18:24:11.444 [16068]: Failed to load dependency Microsoft.Data.ConnectionUI.Dialog of assembly Microsoft.AnalysisServices.AdomdClientUI, Version=15.2.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : La definición del manifiesto del ensamblado no coincide con la referencia al ensamblado. (Excepción de HRESULT: 0x80131040)
08/21/2019 18:24:11.502 [16068]: Failed to load dependency Microsoft.AnalysisServices.SPClient.Interfaces of assembly Microsoft.AnalysisServices.Xmla, Version=15.17.1.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : El sistema no puede encontrar el archivo especificado. (Excepción de HRESULT: 0x80070002)
08/21/2019 18:24:11.657 [16068]: Failed to load dependency Microsoft.SqlServer.Dmf.Adapters of assembly Microsoft.SqlServer.Management.RSTasks, Version=15.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : El sistema no puede encontrar el archivo especificado. (Excepción de HRESULT: 0x80070002)
08/21/2019 18:24:11.658 [16068]: Failed to load dependency Microsoft.SqlServer.ConnectionInfo of assembly Microsoft.SqlServer.Management.RSTasks, Version=15.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : La definición del manifiesto del ensamblado no coincide con la referencia al ensamblado. (Excepción de HRESULT: 0x80131040)
08/21/2019 18:24:11.685 [16068]: Failed to load dependency Microsoft.SqlServer.Management.Sdk.Sfc of assembly Microsoft.SqlServer.Management.SDK.SqlStudio, Version=15.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : La definición del manifiesto del ensamblado no coincide con la referencia al ensamblado. (Excepción de HRESULT: 0x80131040)
08/21/2019 18:24:11.689 [16068]: Failed to load dependency Microsoft.SqlServer.ConnectionInfo of assembly Microsoft.SqlServer.Management.SDK.SqlStudio, Version=15.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : La definición del manifiesto del ensamblado no coincide con la referencia al ensamblado. (Excepción de HRESULT: 0x80131040)
08/21/2019 18:24:11.695 [16068]: Failed to load dependency Microsoft.SqlServer.SqlTDiagM of assembly Microsoft.SqlServer.Management.SDK.SqlStudio, Version=15.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : La definición del manifiesto del ensamblado no coincide con la referencia al ensamblado. (Excepción de HRESULT: 0x80131040)
08/21/2019 18:24:11.765 [16068]: Failed to load dependency Microsoft.ExceptionMessageBox of assembly Microsoft.SqlServer.Management.Controls, Version=15.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : La definición del manifiesto del ensamblado no coincide con la referencia al ensamblado. (Excepción de HRESULT: 0x80131040)
08/21/2019 18:24:11.767 [16068]: Failed to load dependency Microsoft.SqlServer.RegSvrEnum of assembly SqlWorkbench.Interfaces, Version=15.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : La definición del manifiesto del ensamblado no coincide con la referencia al ensamblado. (Excepción de HRESULT: 0x80131040)
08/21/2019 18:24:11.767 [16068]: Failed to load dependency Microsoft.SqlServer.ConnectionInfo of assembly SqlWorkbench.Interfaces, Version=15.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : La definición del manifiesto del ensamblado no coincide con la referencia al ensamblado. (Excepción de HRESULT: 0x80131040)
